FILE;VARIABLE;DTYPE;UNIT;SHORT_DESCRIPTION;VALUES
B001.csv;mcpcs_sys_scu_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the chilled water delivered to sensible cooling units (space cooling).;{0.0...n}
B001.csv;mcphs_sys_ahu_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the warm water delivered to air handling units (space heating).;{0.0...n}
B001.csv;mcphs_sys_aru_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the warm water delivered to air recirculation units (space heating).;{0.0...n}
B001.csv;mcphs_sys_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the warm water delivered to space heating.;{0.0...n}
B001.csv;mcphs_sys_shu_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat Capacity) of the warm water delivered to sensible heating units (space heating).;{0.0...n}
B001.csv;mcptw_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat capaicty) of the fresh water;{0.0...n}
B001.csv;mcpww_sys_kWperC;float;[kW/Cap];Capacity flow rate (mass flow* specific heat capaicty) of domestic hot water;{0.0...n}
B001.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
B001.csv;NG_hs_kWh;float;[kWh];NG consumption due to space heating;{0.0...n}
B001.csv;NG_ww_kWh;float;[kWh];NG consumption due to hotwater;{0.0...n}
B001.csv;OIL_hs_kWh;float;[kWh];OIL consumption due to space heating;{0.0...n}
B001.csv;OIL_ww_kWh;float;[kWh];OIL consumption due to hotwater;{0.0...n}
B001.csv;people;int;[people];Predicted occupancy: number of people in building;{0...n}
B001.csv;PV_kWh;float;[kWh];PV electricity consumption;{0.0...n}
B001.csv;Q_gain_lat_peop_kWh;float;[kWh];Latent heat gain from people;{0.0...n}
B001.csv;Q_gain_sen_app_kWh;float;[kWh];Sensible heat gain from appliances;{0.0...n}
B001.csv;Q_gain_sen_base_kWh;float;[kWh];Sensible heat gain from transmission through the base;{0.0...n}
B001.csv;Q_gain_sen_data_kWh;float;[kWh];Sensible heat gain from data centres;{0.0...n}
B001.csv;Q_gain_sen_light_kWh;float;[kWh];Sensible heat gain from lighting;{0.0...n}
B001.csv;Q_gain_sen_peop_kWh;float;[kWh];Sensible heat gain from people;{0.0...n}
B001.csv;Q_gain_sen_pro_kWh;float;[kWh];Sensible heat gain from industrial processes.;{0.0...n}
B001.csv;Q_gain_sen_roof_kWh;float;[kWh];Sensible heat gain from transmission through the roof;{0.0...n}
B001.csv;Q_gain_sen_vent_kWh;float;[kWh];Sensible heat gain from ventilation and infiltration;{0.0...n}
B001.csv;Q_gain_sen_wall_kWh;float;[kWh];Sensible heat gain from transmission through the walls;{0.0...n}
B001.csv;Q_gain_sen_wind_kWh;float;[kWh];Sensible heat gain from transmission through the windows;{0.0...n}
B001.csv;Q_loss_sen_ref_kWh;float;[kWh];Sensible heat loss from refrigeration systems;{0.0...n}
B001.csv;QC_sys_kWh;float;[kWh];Total cool consumption;{0.0...n}
B001.csv;Qcdata_kWh;float;[kWh];Data centre space cooling demand;{0.0...n}
B001.csv;Qcdata_sys_kWh;float;[kWh];End-use data center cooling demand;{0.0...n}
B001.csv;Qcpro_sys_kWh;float;[kWh];Industrial process cooling demand;{0.0...n}
B001.csv;Qcre_kWh;float;[kWh];Refrigeration space cooling demand;{0.0...n}
B001.csv;Qcre_sys_kWh;float;[kWh];End-use refrigeration demand;{0.0...n}
B001.csv;Qcs_dis_ls_kWh;float;[kWh];Cooling system distribution losses;{0.0...n}
B001.csv;Qcs_em_ls_kWh;float;[kWh];Cooling system emission losses;{0.0...n}
B001.csv;Qcs_kWh;float;[kWh];Specific cool demand;{0.0...n}
B001.csv;Qcs_lat_ahu_kWh;float;[kWh];AHU latent cool demand;{0.0...n}
B001.csv;Qcs_lat_aru_kWh;float;[kWh];ARU latent cool demand;{0.0...n}
B001.csv;Qcs_lat_sys_kWh;float;[kWh];Total latent cool demand for all systems;{0.0...n}
B001.csv;Qcs_sen_ahu_kWh;float;[kWh];AHU sensible cool demand;{0.0...n}
B001.csv;Qcs_sen_aru_kWh;float;[kWh];ARU sensible cool demand;{0.0...n}
B001.csv;Qcs_sen_scu_kWh;float;[kWh];SHU sensible cool demand;{0.0...n}
B001.csv;Qcs_sen_sys_kWh;float;[kWh];Total sensible cool demand for all systems;{0.0...n}
B001.csv;Qcs_sys_ahu_kWh;float;[kWh];AHU system cool demand;{0.0...n}
B001.csv;Qcs_sys_aru_kWh;float;[kWh];ARU system cool demand;{0.0...n}
B001.csv;Qcs_sys_kWh;float;[kWh];End-use space cooling demand;{0.0...n}
B001.csv;Qcs_sys_scu_kWh;float;[kWh];SCU system cool demand;{0.0...n}
B001.csv;QH_sys_kWh;float;[kWh];Total heat consumption;{0.0...n}
B001.csv;Qhpro_sys_kWh;float;[kWh];Industrial process heat demand;{0.0...n}
B001.csv;Qhs_dis_ls_kWh;float;[kWh];Heating system distribution losses;{0.0...n}
B001.csv;Qhs_em_ls_kWh;float;[kWh];Heating system emission losses;{0.0...n}
B001.csv;Qhs_kWh;float;[kWh];Sensible heating system demand;{0.0...n}
B001.csv;Qhs_lat_ahu_kWh;float;[kWh];AHU latent heat demand;{0.0...n}
B001.csv;Qhs_lat_aru_kWh;float;[kWh];ARU latent heat demand;{0.0...n}
B001.csv;Qhs_lat_sys_kWh;float;[kWh];Total latent heat demand for all systems;{0.0...n}
B001.csv;Qhs_sen_ahu_kWh;float;[kWh];AHU sensible heat demand;{0.0...n}
B001.csv;Qhs_sen_aru_kWh;float;[kWh];ARU sensible heat demand;{0.0...n}
B001.csv;Qhs_sen_shu_kWh;float;[kWh];SHU sensible heat demand;{0.0...n}
B001.csv;Qhs_sen_sys_kWh;float;[kWh];Total sensible heat demand for all systems;{0.0...n}
B001.csv;Qhs_sys_ahu_kWh;float;[kWh];AHU system heat demand;{0.0...n}
B001.csv;Qhs_sys_aru_kWh;float;[kWh];ARU system heat demand;{0.0...n}
B001.csv;Qhs_sys_kWh;float;[kWh];End-use space heating demand;{0.0...n}
B001.csv;Qhs_sys_shu_kWh;float;[kWh];SHU system heat demand;{0.0...n}
B001.csv;Qww_kWh;float;[kWh];DHW specific heat demand;{0.0...n}
B001.csv;Qww_sys_kWh;float;[kWh];End-use hotwater demand;{0.0...n}
B001.csv;SOLAR_hs_kWh;float;[kWh];Solar energy consumption due to space heating;{0.0...n}
B001.csv;SOLAR_ww_kWh;float;[kWh];Solar energy consumption due to hotwater;{0.0...n}
B001.csv;T_ext_C;float;[C];Outdoor temperature;{0.0...n}
B001.csv;T_int_C;float;[C];Indoor temperature;{0.0...n}
B001.csv;Tcdata_sys_re_C;float;[C];Cooling supply temperature of the data centre;{0.0...n}
B001.csv;Tcdata_sys_sup_C;float;[C];Cooling return temperature of the data centre;{0.0...n}
B001.csv;Tcre_sys_re_C;float;[C];Cooling return temperature of the refrigeration system.;{0.0...n}
B001.csv;Tcre_sys_sup_C;float;[C];Cooling supply temperature of the refrigeration system.;{0.0...n}
B001.csv;Tcs_sys_re_ahu_C;float;[C];Return temperature cooling system;{0.0...n}
B001.csv;Tcs_sys_re_aru_C;float;[C];Return temperature cooling system;{0.0...n}
B001.csv;Tcs_sys_re_C;float;[C];System cooling return temperature.;{0.0...n}
B001.csv;Tcs_sys_re_scu_C;float;[C];Return temperature cooling system;{0.0...n}
B001.csv;Tcs_sys_sup_ahu_C;float;[C];Supply temperature cooling system;{0.0...n}
B001.csv;Tcs_sys_sup_aru_C;float;[C];Supply temperature cooling system;{0.0...n}
B001.csv;Tcs_sys_sup_C;float;[C];System cooling supply temperature.;{0.0...n}
B001.csv;Tcs_sys_sup_scu_C;float;[C];Supply temperature cooling system;{0.0...n}
B001.csv;theta_o_C;float;[C];Operative temperature in building (RC-model) used for comfort plotting;{0.0...n}
B001.csv;Ths_sys_re_ahu_C;float;[C];Return temperature heating system;{0.0...n}
B001.csv;Ths_sys_re_aru_C;float;[C];Return temperature heating system;{0.0...n}
B001.csv;Ths_sys_re_C;float;[C];Heating system return temperature.;{0.0...n}
B001.csv;Ths_sys_re_shu_C;float;[C];Return temperature heating system;{0.0...n}
B001.csv;Ths_sys_sup_ahu_C;float;[C];Supply temperature heating system;{0.0...n}
B001.csv;Ths_sys_sup_aru_C;float;[C];Supply temperature heating system;{0.0...n}
B001.csv;Ths_sys_sup_C;float;[C];Heating system supply temperature.;{0.0...n}
B001.csv;Ths_sys_sup_shu_C;float;[C];Supply temperature heating system;{0.0...n}
B001.csv;Tww_sys_re_C;float;[C];Return temperature hotwater system;{0.0...n}
B001.csv;Tww_sys_sup_C;float;[C];Supply temperature hotwater system;{0.0...n}
B001.csv;WOOD_hs_kWh;float;[kWh];WOOD consumption due to space heating;{0.0...n}
B001.csv;WOOD_ww_kWh;float;[kWh];WOOD consumption due to hotwater;{0.0...n}
B001.csv;x_int;float;[kg/kg];Internal mass fraction of humidity (water/dry air);{0.0...n}
Total_demand.csv;Af_m2;float;[m2];Conditioned floor area (heated/cooled);{0.0...n}
Total_demand.csv;Aroof_m2;float;[m2];Roof area;{0.0...n}
Total_demand.csv;COAL_hs_MWhyr;float;[MWh/year];Coal consumption due to space heating;{0.0...n}
Total_demand.csv;COAL_hs0_kW;float;[kW];Peak Coal consumption due to space heating;{0.0...n}
Total_demand.csv;COAL_ww_MWhyr;float;[MWh/year];Coal consumption due to hotwater;{0.0...n}
Total_demand.csv;COAL_ww0_kW;float;[kW];Peak Coal consumption due to hotwater;{0.0...n}
Total_demand.csv;DC_cdata_MWhyr;float;[MWh/year];District cooling for data center cooling demand;{0.0...n}
Total_demand.csv;DC_cdata0_kW;float;[kW];Peak district cooling for final data center cooling demand;{0.0...n}
Total_demand.csv;DC_cre_MWhyr;float;[MWh/year];District cooling for refrigeration demand;{0.0...n}
Total_demand.csv;DC_cre0_kW;float;[kW];Peak district cooling for refrigeration demand;{0.0...n}
Total_demand.csv;DC_cs_MWhyr;float;[MWh/year];District cooling for space cooling demand;{0.0...n}
Total_demand.csv;DC_cs0_kW;float;[kW];Peak district cooling for space cooling demand;{0.0...n}
Total_demand.csv;DH_hs_MWhyr;float;[MWh/year];District heating for space heating demand;{0.0...n}
Total_demand.csv;DH_hs0_kW;float;[kW];Peak district heating for space heating demand;{0.0...n}
Total_demand.csv;DH_ww_MWhyr;float;[MWh/year];District heating for hotwater demand;{0.0...n}
Total_demand.csv;DH_ww0_kW;float;[kW];Nominal district heating for hotwater demand;{0.0...n}
Total_demand.csv;E_cdata_MWhyr;float;[MWh/year];Data centre cooling specific electricity consumption.;{0.0...n}
Total_demand.csv;E_cdata0_kW;float;[kW];Nominal Data centre cooling specific electricity consumption.;{0.0...n}
Total_demand.csv;E_cre_MWhyr;float;[MWh/year];Refrigeration system electricity consumption.;{0.0...n}
Total_demand.csv;E_cre0_kW;float;[kW];Nominal Refrigeration system electricity consumption.;{0.0...n}
Total_demand.csv;E_cs_MWhyr;float;[MWh/year];Cooling system electricity consumption.;{0.0...n}
Total_demand.csv;E_cs0_kW;float;[kW];Nominal Cooling system electricity consumption.;{0.0...n}
Total_demand.csv;E_hs_MWhyr;float;[MWh/year];Heating system electricity consumption.;{0.0...n}
Total_demand.csv;E_hs0_kW;float;[kW];Nominal Heating system electricity consumption.;{0.0...n}
Total_demand.csv;E_sys_MWhyr;float;[MWh/year];End-use electricity demand;{0.0...n}
Total_demand.csv;E_sys0_kW;float;[kW];Nominal end-use electricity demand;{0.0...n}
Total_demand.csv;E_ww_MWhyr;float;[MWh/year];Domestic hot water electricity consumption.;{0.0...n}
Total_demand.csv;E_ww0_kW;float;[kW];Nominal Domestic hot water electricity consumption.;{0.0...n}
Total_demand.csv;Eal_MWhyr;float;[MWh/year];Total net electricity for all sources and sinks;{0.0...n}
Total_demand.csv;Eal0_kW;float;[kW];Nominal Total net electricity for all sources and sinks.;{0.0...n}
Total_demand.csv;Eaux_MWhyr;float;[MWh/year];Auxiliary electricity consumption.;{0.0...n}
Total_demand.csv;Eaux0_kW;float;[kW];Nominal Auxiliary electricity consumption.;{0.0...n}
Total_demand.csv;Edata_MWhyr;float;[MWh/year];Data centre electricity consumption.;{0.0...n}
Total_demand.csv;Edata0_kW;float;[kW];Nominal Data centre electricity consumption.;{0.0...n}
Total_demand.csv;Epro_MWhyr;float;[MWh/year];Yearly Industrial processes electricity consumption.;{0.0...n}
Total_demand.csv;Epro0_kW;float;[kW];Nominal Industrial processes electricity consumption.;{0.0...n}
Total_demand.csv;GFA_m2;float;[m2];Gross floor area;{0.0...n}
Total_demand.csv;GRID_MWhyr;float;[MWh/year];Grid electricity consumption;{0.0...n}
Total_demand.csv;GRID0_kW;float;[kW];Nominal Grid electricity consumption;{0.0...n}
Total_demand.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
Total_demand.csv;NG_hs_MWhyr;float;[MWh/year];NG consumption due to space heating;{0.0...n}
Total_demand.csv;NG_hs0_kW;float;[kW];Nominal NG consumption due to space heating;{0.0...n}
Total_demand.csv;NG_ww_MWhyr;float;[MWh/year];NG consumption due to hotwater;{0.0...n}
Total_demand.csv;NG_ww0_kW;float;[kW];Nominal NG consumption due to hotwater;{0.0...n}
Total_demand.csv;OIL_hs_MWhyr;float;[MWh/year];OIL consumption due to space heating;{0.0...n}
Total_demand.csv;OIL_hs0_kW;float;[kW];Nominal OIL consumption due to space heating;{0.0...n}
Total_demand.csv;OIL_ww_MWhyr;float;[MWh/year];OIL consumption due to hotwater;{0.0...n}
Total_demand.csv;OIL_ww0_kW;float;[kW];Nominal OIL consumption due to hotwater;{0.0...n}
Total_demand.csv;people0;int;[people];Nominal occupancy;{0...n}
Total_demand.csv;PV_MWhyr;float;[MWh/year];PV electricity consumption;{0.0...n}
Total_demand.csv;PV0_kW;float;[kW];Nominal PV electricity consumption;{0.0...n}
Total_demand.csv;QC_sys_MWhyr;float;[MWh/year];Total system cooling demand;{0.0...n}
Total_demand.csv;QC_sys0_kW;float;[kW];Nominal Total system cooling demand.;{0.0...n}
Total_demand.csv;Qcdata_MWhyr;float;[MWh/year];Data centre cooling demand;{0.0...n}
Total_demand.csv;Qcdata_sys_MWhyr;float;[MWh/year];End-use data center cooling demand;{0.0...n}
Total_demand.csv;Qcdata_sys0_kW;float;[kW];Nominal end-use data center cooling demand;{0.0...n}
Total_demand.csv;Qcdata0_kW;float;[kW];Nominal Data centre cooling demand.;{0.0...n}
Total_demand.csv;Qcpro_sys_MWhyr;float;[MWh/year];Yearly processes cooling demand.;{0.0...n}
Total_demand.csv;Qcpro_sys0_kW;float;[kW];Nominal process cooling demand.;{0.0...n}
Total_demand.csv;Qcre_MWhyr;float;[MWh/year];Refrigeration cooling demand for the system;{0.0...n}
Total_demand.csv;Qcre_sys_MWhyr;float;[MWh/year];End-use refrigeration demand;{0.0...n}
Total_demand.csv;Qcre_sys0_kW;float;[kW];Nominal refrigeration cooling demand;{0.0...n}
Total_demand.csv;Qcre0_kW;float;[kW];Nominal Refrigeration cooling demand.;{0.0...n}
Total_demand.csv;Qcs_dis_ls_MWhyr;float;[MWh/year];Cool distribution losses;{0.0...n}
Total_demand.csv;Qcs_dis_ls0_kW;float;[kW];Nominal Cool distribution losses.;{0.0...n}
Total_demand.csv;Qcs_em_ls_MWhyr;float;[MWh/year];Cool emission losses;{0.0...n}
Total_demand.csv;Qcs_em_ls0_kW;float;[kW];Nominal Cool emission losses.;{0.0...n}
Total_demand.csv;Qcs_lat_ahu_MWhyr;float;[MWh/year];AHU latent cool demand;{0.0...n}
Total_demand.csv;Qcs_lat_ahu0_kW;float;[kW];Nominal AHU latent cool demand.;{0.0...n}
Total_demand.csv;Qcs_lat_aru_MWhyr;float;[MWh/year];ARU latent cool demand;{0.0...n}
Total_demand.csv;Qcs_lat_aru0_kW;float;[kW];Nominal ARU latent cool demand.;{0.0...n}
Total_demand.csv;Qcs_lat_sys_MWhyr;float;[MWh/year];System latent cool demand;{0.0...n}
Total_demand.csv;Qcs_lat_sys0_kW;float;[kW];Nominal System latent cool demand.;{0.0...n}
Total_demand.csv;Qcs_MWhyr;float;[MWh/year];Total cool demand;{0.0...n}
Total_demand.csv;Qcs_sen_ahu_MWhyr;float;[MWh/year];AHU system cool demand;{0.0...n}
Total_demand.csv;Qcs_sen_ahu0_kW;float;[kW];Nominal AHU system cool demand.;{0.0...n}
Total_demand.csv;Qcs_sen_aru_MWhyr;float;[MWh/year];ARU system cool demand;{0.0...n}
Total_demand.csv;Qcs_sen_aru0_kW;float;[kW];Nominal ARU system cool demand.;{0.0...n}
Total_demand.csv;Qcs_sen_scu_MWhyr;float;[MWh/year];SCU system cool demand;{0.0...n}
Total_demand.csv;Qcs_sen_scu0_kW;float;[kW];Nominal SCU system cool demand.;{0.0...n}
Total_demand.csv;Qcs_sen_sys_MWhyr;float;[MWh/year];Sensible system cool demand;{0.0...n}
Total_demand.csv;Qcs_sen_sys0_kW;float;[kW];Nominal Sensible system cool demand.;{0.0...n}
Total_demand.csv;Qcs_sys_ahu_MWhyr;float;[MWh/year];AHU system cool demand;{0.0...n}
Total_demand.csv;Qcs_sys_ahu0_kW;float;[kW];Nominal AHU system cool demand.;{0.0...n}
Total_demand.csv;Qcs_sys_aru_MWhyr;float;[MWh/year];ARU system cool demand;{0.0...n}
Total_demand.csv;Qcs_sys_aru0_kW;float;[kW];Nominal ARU system cool demand.;{0.0...n}
Total_demand.csv;Qcs_sys_MWhyr;float;[MWh/year];End-use space cooling demand;{0.0...n}
Total_demand.csv;Qcs_sys_scu_MWhyr;float;[MWh/year];SCU system cool demand;{0.0...n}
Total_demand.csv;Qcs_sys_scu0_kW;float;[kW];Nominal SCU system cool demand.;{0.0...n}
Total_demand.csv;Qcs_sys0_kW;float;[kW];Nominal end-use space cooling demand;{0.0...n}
Total_demand.csv;Qcs0_kW;float;[kW];Nominal Total cooling demand.;{0.0...n}
Total_demand.csv;QH_sys_MWhyr;float;[MWh/year];Total building heating demand;{0.0...n}
Total_demand.csv;QH_sys0_kW;float;[kW];Nominal total building heating demand.;{0.0...n}
Total_demand.csv;Qhpro_sys_MWhyr;float;[MWh/year];Yearly processes heat demand.;{0.0...n}
Total_demand.csv;Qhpro_sys0_kW;float;[kW];Nominal process heat demand.;{0.0...n}
Total_demand.csv;Qhs_dis_ls_MWhyr;float;[MWh/year];Heating system distribution losses;{0.0...n}
Total_demand.csv;Qhs_dis_ls0_kW;float;[kW];Nominal Heating system distribution losses.;{0.0...n}
Total_demand.csv;Qhs_em_ls_MWhyr;float;[MWh/year];Heating system emission losses;{0.0...n}
Total_demand.csv;Qhs_em_ls0_kW;float;[kW];Nominal Heating emission losses.;{0.0...n}
Total_demand.csv;Qhs_lat_ahu_MWhyr;float;[MWh/year];AHU latent heat demand;{0.0...n}
Total_demand.csv;Qhs_lat_ahu0_kW;float;[kW];Nominal AHU latent heat demand.;{0.0...n}
Total_demand.csv;Qhs_lat_aru_MWhyr;float;[MWh/year];ARU latent heat demand;{0.0...n}
Total_demand.csv;Qhs_lat_aru0_kW;float;[kW];Nominal ARU latent heat demand.;{0.0...n}
Total_demand.csv;Qhs_lat_sys_MWhyr;float;[MWh/year];System latent heat demand;{0.0...n}
Total_demand.csv;Qhs_lat_sys0_kW;float;[kW];Nominal System latent heat demand.;{0.0...n}
Total_demand.csv;Qhs_MWhyr;float;[MWh/year];Total heating demand;{0.0...n}
Total_demand.csv;Qhs_sen_ahu_MWhyr;float;[MWh/year];AHU sensible heat demand;{0.0...n}
Total_demand.csv;Qhs_sen_ahu0_kW;float;[kW];Nominal AHU sensible heat demand.;{0.0...n}
Total_demand.csv;Qhs_sen_aru_MWhyr;float;[MWh/year];ARU sensible heat demand;{0.0...n}
Total_demand.csv;Qhs_sen_aru0_kW;float;[kW];ARU sensible heat demand;{0.0...n}
Total_demand.csv;Qhs_sen_shu_MWhyr;float;[MWh/year];SHU sensible heat demand;{0.0...n}
Total_demand.csv;Qhs_sen_shu0_kW;float;[kW];Nominal SHU sensible heat demand.;{0.0...n}
Total_demand.csv;Qhs_sen_sys_MWhyr;float;[MWh/year];SHU sensible heat demand;{0.0...n}
Total_demand.csv;Qhs_sen_sys0_kW;float;[kW];Nominal HVAC systems sensible heat demand.;{0.0...n}
Total_demand.csv;Qhs_sys_ahu_MWhyr;float;[MWh/year];AHU system heat demand;{0.0...n}
Total_demand.csv;Qhs_sys_ahu0_kW;float;[kW];Nominal AHU sensible heat demand.;{0.0...n}
Total_demand.csv;Qhs_sys_aru_MWhyr;float;[MWh/year];ARU sensible heat demand;{0.0...n}
Total_demand.csv;Qhs_sys_aru0_kW;float;[kW];Nominal ARU sensible heat demand.;{0.0...n}
Total_demand.csv;Qhs_sys_MWhyr;float;[MWh/year];End-use space heating demand;{0.0...n}
Total_demand.csv;Qhs_sys_shu_MWhyr;float;[MWh/year];SHU sensible heat demand;{0.0...n}
Total_demand.csv;Qhs_sys_shu0_kW;float;[kW];Nominal SHU sensible heat demand.;{0.0...n}
Total_demand.csv;Qhs_sys0_kW;float;[kW];Nominal end-use space heating demand;{0.0...n}
Total_demand.csv;Qhs0_kW;float;[kW];Nominal Total heating demand.;{0.0...n}
Total_demand.csv;Qww_MWhyr;float;[MWh/year];DHW heat demand;{0.0...n}
Total_demand.csv;Qww_sys_MWhyr;float;[MWh/year];End-use hotwater demand;{0.0...n}
Total_demand.csv;Qww_sys0_kW;float;[kW];Nominal end-use hotwater demand;{0.0...n}
Total_demand.csv;Qww0_kW;float;[kW];Nominal DHW heat demand.;{0.0...n}
Total_demand.csv;SOLAR_hs_MWhyr;float;[MWh/year];Solar energy consumption due to space heating;{0.0...n}
Total_demand.csv;SOLAR_hs0_kW;float;[kW];Nominal solar energy consumption due to space heating;{0.0...n}
Total_demand.csv;SOLAR_ww_MWhyr;float;[MWh/year];Solar energy consumption due to hotwater;{0.0...n}
Total_demand.csv;SOLAR_ww0_kW;float;[kW];Nominal solar energy consumption due to hotwater;{0.0...n}
Total_demand.csv;WOOD_hs_MWhyr;float;[MWh/year];WOOD consumption due to space heating;{0.0...n}
Total_demand.csv;WOOD_hs0_kW;float;[kW];Nominal WOOD consumption due to space heating;{0.0...n}
Total_demand.csv;WOOD_ww_MWhyr;float;[MWh/year];WOOD consumption due to hotwater;{0.0...n}
Total_demand.csv;WOOD_ww0_kW;float;[kW];Nominal WOOD consumption due to hotwater;{0.0...n}
Building_geometry.csv;AREA_m2;float;[m2];Surface area.;{0.0...n}
Building_geometry.csv;BUILDING;string;[-];Unique building ID. It must start with a letter.;alphanumeric
Building_geometry.csv;SURFACE;string;[-];Unique surface ID for each building exterior surface.;{srf0...srfn}
Building_geometry.csv;TYPE;string;[-];Surface typology.;{walls/windows/roofs}
Building_geometry.csv;Xcoor;float;[-];Describes the position of the x vector.;{0.0...n}
Building_geometry.csv;Xdir;float;[-];Directional scalar of the x vector.;{-1...1}
Building_geometry.csv;Ycoor;float;[-];Describes the position of the y vector.;{0.0...n}
Building_geometry.csv;Ydir;float;[-];Directional scalar of the y vector.;{-1...1}
Building_geometry.csv;Zcoor;float;[-];Describes the position of the z vector.;{0.0...n}
Building_geometry.csv;Zdir;float;[-];Directional scalar of the z vector.;{-1...1}
Building_geometry.csv;orientation;string;[-];Orientation of the surface (north/east/south/west/top);{north...}
properties_surfaces.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
properties_surfaces.csv;Freeheight;float;[m];Surface height exposed to the sun;{0.0...n}
properties_surfaces.csv;FactorShade;float;[ratio];Defines whether surface is facing the sun (1) or not (0);{0.0...1}
properties_surfaces.csv;height_ag;float;[m];Aggregated height of the walls.;{0.0...n}
properties_surfaces.csv;Shape_Leng;float;[m];Surface length;{0.0...n}
properties_surfaces.csv;Awall_all;float;[m2];Total aggregated height of the walls, inclusive of windows.;{0.0...n}
radiation.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
radiation.csv;T8760;float;[Wh/m2];Solar insolation for each hourly time step.;{0.01...n}
Total_LCA_embodied.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
Total_LCA_embodied.csv;GFA_m2;float;[m2];Gross floor area;{0.0...n}
Total_LCA_embodied.csv;E_nre_pen_GJ;float;[GJ/yr];Grey energy;{0.0...n}
Total_LCA_embodied.csv;E_nre_pen_MJm2;float;[MJ/m2-yr];Grey energy;{0.0...n}
Total_LCA_embodied.csv;E_ghg_ton;float;[ton/yr];Grey emissions;{0.0...n}
Total_LCA_embodied.csv;E_ghg_kgm2;float;[kg/m2 -yr];Grey emissions;{0.0...n}
Total_LCA_mobility.csv;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
Total_LCA_mobility.csv;GFA_m2;float;[m2];Gross floor area;{0.0...n}
Total_LCA_mobility.csv;M_nre_pen_GJ;float;[GJ/yr];Mobility energy;{0.0...n}
Total_LCA_mobility.csv;M_nre_pen_MJm2;float;[MJ/m2-yr];Mobility energy;{0.0...n}
Total_LCA_mobility.csv;M_ghg_ton;float;[ton/yr];Mobility emissions;{0.0...n}
Total_LCA_mobility.csv;M_ghg_kgm2;float;[kg/m2 -yr];Mobility emissions;{0.0...n}
Total_LCA_operation.csv;GFA_m2;float;[m2];Gross floor area;{0.0...n}
Total_LCA_operation.csv;PV_ghg_ton;float;[ton/yr];Emissions due to operational energy of the PV-System;{0.0...n}
Total_LCA_operation.csv;PV_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area for PV-System;{0.0...n}
Total_LCA_operation.csv;PV_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for PV-System;{0.0...n}
Total_LCA_operation.csv;PV_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) for PV System;{0.0...n}
Total_LCA_operation.csv;GRID_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) from the grid;{0.0...n}
Total_LCA_operation.csv;GRID_ghg_ton;float;[ton/yr];Emissions due to operational energy of the electrictiy from the grid;{0.0...n}
Total_LCA_operation.csv;GRID_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) from grid electricity;{0.0...n}
Total_LCA_operation.csv;GRID_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area from grid electricity;{0.0...n}
Total_LCA_operation.csv;DC_cs_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system;{0.0...n}
Total_LCA_operation.csv;DC_cs_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district cooling;{0.0...n}
Total_LCA_operation.csv;DC_cs_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the district cooling;{0.0...n}
Total_LCA_operation.csv;DC_cs_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district cooling;{0.0...n}
Total_LCA_operation.csv;DC_cdata_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system of the data center;{0.0...n}
Total_LCA_operation.csv;DC_cdata_ghg_ton;float;[ton/yr];Emissions due to operational energy of the district cooling for the data center;{0.0...n}
Total_LCA_operation.csv;DC_cdata_nre_pen_MJm2;float;[MJ/m2-yr];Operational primary energy demand per unit of conditioned floor area (non-renewable) of the dstrict cooling for the data center;{0.0...n}
Total_LCA_operation.csv;DC_cdata_ghg_kgm2;float;[kg/m2 -yr];Emissions due to operational energy per unit of conditioned floor area of the district cooling for the data center;{0.0...n}
Total_LCA_operation.csv;DC_cre_nre_pen_GJ;float;[GJ/yr];Operational primary energy demand (non-renewable) for district cooling system for cooling and refrigeration;{0.0...n}
