Database Type;Database Name;Description;Format/Naming;Location (example);Primary Interdependencies;Secondary Interdependencies;Column names /parameters;Type;Unit;Description;Valid Values
;;;;;;;e_roof;float;[-];Emissivity of external surface. Defined according to ISO 13790.;{0.0...1}
;;;;;;;U_roof;float;[-];Thermal transmittance of windows including linear losses (+10%). Defined according to ISO 13790.;{0.1...n}
;;;;;;;r_roof;float;[-];Reflectance in the Red spectrum. Defined according Radiance. (long-wave);{0.0...1}
;Envelope Systems: Wall;This database stores information with detailed properties of components of the building envelope. This database is useful to calculate the thermal demand of energy in buildings.;excel file / envelope_systems.xls;`` cea/databases/systems/envelope_systems.xlsx`` ;Relates to the primary input database of Zone architecture;;description;string;[-];Description of component;[-]
;;;;;;;code;string;[-];Unique ID of component in the window category;{T1..Tn}
;;;;;;;a_wall;float;[-];Solar absorption coefficient. Defined according to ISO 13790.;{0.0...1}
;;;;;;;e_wall;float;[-];Emissivity of external surface. Defined according to ISO 13790.;{0.0...1}
;;;;;;;U_wall;float;[-];Thermal transmittance of windows including linear losses (+10%). Defined according to ISO 13790.;{0.1...n}
;;;;;;;r_wall;float;[-];Reflectance in the Red spectrum. Defined according Radiance. (long-wave);{0.0...1}
;;;;;;;U_base;float;[-];Thermal transmittance of basement including linear losses (+10%). Defined according to ISO 13790.;{0.0...1}
;Envelope Systems: Shading;This database stores information with detailed properties of components of the building envelope. This database is useful to calculate the thermal demand of energy in buildings.;excel file / envelope_systems.xls;`` cea/databases/systems/envelope_systems.xlsx`` ;Relates to the primary input database of Zone architecture;;description;string;[-];Description of component;[-]
;;;;;;;code;string;[-];Unique ID of component in the window category;{T1...Tn}
;;;;;;;rf_sh;float;[-];Shading coefficient when shading device is active. Defined according to ISO 13790.;{0.0...1}
;Thermal Networks_Piping Catalog;;excel file / thermal_networks.xls;`` cea/databases/systems/thermal_networks.xls`` ;;;Pipe_DN;string;[DN#];Classifies nominal pipe diameters (DN) into typical bins. E.g. DN100 refers to pipes of approx. 100mm in diameter.;alphanumeric
;;;;;;;D_ext_m;float;[m];Defines the maximum pipe diameter tolerance for the nominal diameter (DN) bin.;{0.0...n}
;;;;;;;D_int_m;float;[m];Defines the minimum pipe diameter tolerance for the nominal diameter (DN) bin.;{0.0...n}
;;;;;;;D_ins_m;float;[m];Defines the pipe insulation diameter for the nominal diameter (DN) bin.;{0.0...n}
;;;;;;;Vdot_min_m3s;float;[m3/s];Minimum volume flow rate for the nominal diameter (DN) bin.;{0.0...n}
;;;;;;;Vdot_max_m3s;float;[m3/s];Maximum volume flow rate for the nominal diameter (DN) bin.;{0.0...n}
;Thermal Networks_Material Properties;;excel file / thermal_networks.xls;`` cea/databases/systems/thermal_networks.xls`` ;;;Material;string;[-];Material;[-]
;;;;;;;Code;string;[-];;
;;;;;;;lambda_WmK;float;[W/mK];Thermal conductivity;{0.0...n}
;;;;;;;rho_kgm3;float;[kg/m3];Density of transmission fluid.;{0.0...n}
;;;;;;;Cp_JkgK;float;[J/kgK];Heat capacity of transmission fluid.;{0.0...n}
;Uncertainty Distributions;This database stores information of probability density functions of several input parameters of the CEA tool. This database is useful to perform a sensitivity analysis of input parameters and to calibrate to measured data.;excel file / uncertainty_distributions.xlsx;`` .../cea/databases/uncertainty/uncertainty_distributions.xlsx`` ;Relates detailed data to the secondary input database of architecture through the contents of the default database of envelope_systems. It also relates detailed data to the secondary input databases of internal_loads and indoor_comfort;None;name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;distribution;string;[-];Type of distribution;{0.0...n}
;;;;;;;mu;float;[-];Mu value;{0.0...n}
;;;;;;;stdv;float;[-];Standard Deviation;{0.0...n}
;;;;;;;min;float;[-];Minimum;{0.0...n}
;;;;;;;max;float;[-];Maximum;{0.0...n}
;;;;;;;reference;string;[-];;
Output Databases;Demand: Zone;These databases store the heating/cooling demand and various operating temperatures for each building in hourly time stamps. Each group of variables is calculated using a specific modules from ``cea\demand`` and is stored within the scenario directory using demand_writer.;csv file / B01.csv;`` ..cea/examples/reference-case-open/baseline/outputs/demand/B01.csv`` ;Calculated using the demand modules which get data from the primary input, case specific and system databases.;Relates to the operating costs for the LCA as well as costs vs CO2 and network optimisations.;COAL_hs_kWh;float;[kWh];Coal produced fraction of space heating;{0.0...n}
;;;;;;;COAL_ww_kWh;float;[kWh];Coal produced fraction of DHW heating;{0.0...n}
;;;;;;;DATE;date;[smalldatetime];Time stamp for each day of the year ascending in hour intervals.;YYYY-MM-DD hh:mm:ss
;;;;;;;DC_cdata_kWh;float;[kWh];District cool supply used for the data centre;{0.0...n}
;;;;;;;DC_cre_kWh;float;[kWh];District cool supply used for refridgeration;{0.0...n}
;;;;;;;DC_cs_kWh;float;[kWh];District cool supply used for space cooling.;{0.0...n}
;;;;;;;DH_hs_kWh;float;[kWh];District heat supply used for space heating.;{0.0...n}
;;;;;;;DH_ww_kWh;float;[kWh];District heat supply used for domestic hot water;{0.0...n}
;;;;;;;E_cdata_kWh;float;[kWh];Data centre cooling specific electricity consumption.;{0.0...n}
;;;;;;;E_cre_kWh;float;[kWh];Refridgeration system electricity consumption.;{0.0...n}
;;;;;;;E_cs_kWh;float;[kWh];Cooling system electricity consumption.;{0.0...n}
;;;;;;;E_hs_kWh;float;[kWh];Heating system electricity consumption.;{0.0...n}
;;;;;;;E_sys_kWh;float;[kWh];HVAC systems electricity consumption.;{0.0...n}
;;;;;;;E_ww_kWh;float;[kWh];Domestic hot water electricity consumption.;{0.0...n}
;;;;;;;Eal_kWh;float;[kWh];Total net electricity for all sources and sinks ??;{0.0...n}
;;;;;;;Eaux_kWh;float;[kWh];Auxiliary electricity consumption.;{0.0...n}
;;;;;;;Edata_kWh;float;[kWh];Data centre electricity consumption.;{0.0...n}
;;;;;;;Epro_kWh;float;[kWh];Electricity production.;{0.0...n}
;;;;;;;GRID_kWh;float;[kWh];Grid electricity consumption.;{0.0...n}
;;;;;;;I_rad_kWh;float;[kWh];Total solar radiation;{0.0...n}
;;;;;;;I_sol_and_I_rad_kWh;float;[kWh];Combined solar radiation and insolation.;{0.0...n}
;;;;;;;I_sol_kWh;float;[kWh];Total solar insolation;{0.0...n}
;;;;;;;mcpcdata_sys_kWperC;float;[kW/Cap];Cooling power delivered to the data centre ;{0.0...n}
;;;;;;;mcpcre_sys_kWperC;float;[kW/Cap];Cooling power delivered to the refridgeration system ;{0.0...n}
;;;;;;;mcpcs_sys_ahu_kWperC;float;[kW/Cap];Cooling power delivered via the AHU ;{0.0...n}
;;;;;;;mcpcs_sys_aru_kWperC;float;[kW/Cap];Cooling power delivered via the ARU ;{0.0...n}
;;;;;;;mcpcs_sys_kWperC;float;[kW/Cap];system cooling power delivered via all cooling system ;{0.0...n}
;;;;;;;mcpcs_sys_scu_kWperC;float;[kW/Cap];Cooling power delivered via the SCU ;{0.0...n}
;;;;;;;mcphs_sys_ahu_kWperC;float;[kW/Cap];Heating power delivered via the AHU ;{0.0...n}
;;;;;;;mcphs_sys_aru_kWperC;float;[kW/Cap];Heating power delivered via the ARU ;{0.0...n}
;;;;;;;mcphs_sys_kWperC;float;[kW/Cap];system heating power delivered via all heating system ;{0.0...n}
;;;;;;;mcphs_sys_shu_kWperC;float;[kW/Cap];Heating power delivered via the SCU ;{0.0...n}
;;;;;;;mcptw_kWperC;float;[kW/Cap];Heating power delivered via the domestic hot water channels ??;{0.0...n}
;;;;;;;mcpww_sys_kWperC;float;[kW/Cap];Heating power delivered via the DWH channels ??;{0.0...n}
;;;;;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;NG_hs_kWh;float;[kWh];Natural gas produced fraction of space heating;{0.0...n}
;;;;;;;NG_ww_kWh;float;[kWh];Natural gas produced fraction of DHW heating;{0.0...n}
;;;;;;;OIL_hs_kWh;float;[kWh];Oil produced fraction of space heating;{0.0...n}
;;;;;;;OIL_ww_kWh;float;[kWh];Oil produced fraction of DHW heating;{0.0...n}
;;;;;;;people;int;[people];Predicted occupancy;{0...n}
;;;;;;;PV_kWh;float;[kWh];PV electricity production.;{0.0...n}
;;;;;;;Q_gain_lat_peop_kWh;float;[kWh];Latent heat gain from people ;{0.0...n}
;;;;;;;Q_gain_sen_app_kWh;float;[kWh];Sensible heat gain from appliances ;{0.0...n}
;;;;;;;Q_gain_sen_base_kWh;float;[kWh];Sensible heat gain through the base ;{0.0...n}
;;;;;;;Q_gain_sen_data_kWh;float;[kWh];Sensible heat gain from data centres ;{0.0...n}
;;;;;;;Q_gain_sen_light_kWh;float;[kWh];Sensible heat gain from lighting ;{0.0...n}
;;;;;;;Q_gain_sen_peop_kWh;float;[kWh];Sensible heat gain from people ;{0.0...n}
;;;;;;;Q_gain_sen_pro_kWh;float;[kWh];;{0.0...n}
;;;;;;;Q_gain_sen_roof_kWh;float;[kWh];Sensible heat gain through the roof ;{0.0...n}
;;;;;;;Q_gain_sen_vent_kWh;float;[kWh];Sensible heat gain from the ventilation ;{0.0...n}
;;;;;;;Q_gain_sen_wall_kWh;float;[kWh];Sensible heat gain through exterior walls ;{0.0...n}
;;;;;;;Q_gain_sen_wind_kWh;float;[kWh];Sensible heat gain through the external windows ;{0.0...n}
;;;;;;;Q_loss_sen_ref_kWh;float;[kWh];Sensible heat loss from the refridgeration system ;{0.0...n}
;;;;;;;QC_sys_kWh;float;[kWh];Total cool consumption;{0.0...n}
;;;;;;;Qcdata_kWh;float;[kWh];Data centre space cooling demand;{0.0...n}
;;;;;;;Qcdata_sys_kWh;float;[kWh];system data centre cooling demand;{0.0...n}
;;;;;;;Qcre_kWh;float;[kWh];Refirdgeration space cooling demand;{0.0...n}
;;;;;;;Qcre_sys_kWh;float;[kWh];Refridgeration cooling demand for the system;{0.0...n}
;;;;;;;Qcs_dis_ls_kWh;float;[kWh];Heat distribution losses;{0.0...n}
;;;;;;;Qcs_em_ls_kWh;float;[kWh];Heat emission losses;{0.0...n}
;;;;;;;Qcs_kWh;float;[kWh];Specific cool demand;{0.0...n}
;;;;;;;Qcs_lat_ahu_kWh;float;[kWh];AHU latent cool demand;{0.0...n}
;;;;;;;Qcs_lat_aru_kWh;float;[kWh];ARU latent cool demand;{0.0...n}
;;;;;;;Qcs_lat_sys_kWh;float;[kWh];Total latent cool demand for all systems;{0.0...n}
;;;;;;;Qcs_sen_ahu_kWh;float;[kWh];AHU sensible cool demand;{0.0...n}
;;;;;;;Qcs_sen_aru_kWh;float;[kWh];ARU sensible cool demand;{0.0...n}
;;;;;;;Qcs_sen_scu_kWh;float;[kWh];SHU sensible cool demand;{0.0...n}
;;;;;;;Qcs_sen_sys_kWh;float;[kWh];Total sensible cool demand for all systems;{0.0...n}
;;;;;;;Qcs_sys_ahu_kWh;float;[kWh];AHU system cool demand;{0.0...n}
;;;;;;;Qcs_sys_aru_kWh;float;[kWh];ARU system cool demand;{0.0...n}
;;;;;;;Qcs_sys_kWh;float;[kWh];system cool demand;{0.0...n}
;;;;;;;Qcs_sys_scu_kWh;float;[kWh];SCU system cool demand;{0.0...n}
;;;;;;;QH_sys_kWh;float;[kWh];Total heat consumption;{0.0...n}
;;;;;;;Qhpro_sys_kWh;float;[kWh];;{0.0...n}
;;;;;;;Qhs_dis_ls_kWh;float;[kWh];Heat distribution losses;{0.0...n}
;;;;;;;Qhs_em_ls_kWh;float;[kWh];Heat emission losses;{0.0...n}
;;;;;;;Qhs_kWh;float;[kWh];Sensible heating system demand;{0.0...n}
;;;;;;;Qhs_lat_ahu_kWh;float;[kWh];AHU latent heat demand;{0.0...n}
;;;;;;;Qhs_lat_aru_kWh;float;[kWh];ARU latent heat demand;{0.0...n}
;;;;;;;Qhs_lat_sys_kWh;float;[kWh];Total latent heat demand for all systems;{0.0...n}
;;;;;;;Qhs_sen_ahu_kWh;float;[kWh];AHU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sen_aru_kWh;float;[kWh];ARU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sen_shu_kWh;float;[kWh];SHU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sen_sys_kWh;float;[kWh];Total sensible heat demand for all systems;{0.0...n}
;;;;;;;Qhs_sys_ahu_kWh;float;[kWh];AHU system heat demand;{0.0...n}
;;;;;;;Qhs_sys_aru_kWh;float;[kWh];ARU system heat demand;{0.0...n}
;;;;;;;Qhs_sys_kWh;float;[kWh];system heating demand across all systems;{0.0...n}
;;;;;;;Qhs_sys_shu_kWh;float;[kWh];SHU system heat demand;{0.0...n}
;;;;;;;Qww_kWh;float;[kWh];DHW specific heat demand;{0.0...n}
;;;;;;;Qww_sys_kWh;float;[kWh];DHW system heat demand;{0.0...n}
;;;;;;;SOLAR_hs_kWh;float;[kWh];Solar produced fraction of space heating;{0.0...n}
;;;;;;;SOLAR_ww_kWh;float;[kWh];Solar produced fraction of DHW heating;{0.0...n}
;;;;;;;T_ext_C;float;[C];Historical external temperature for a given building. Uses data from `Primary: Zone Weather`_.;{0.0...n}
;;;;;;;T_int_C;float;[C];RC modelled internal temperature for a given building.;{0.0...n}
;;;;;;;Tcdata_sys_re_C;float;[C];Cooling supply temperature of the data centre;{0.0...n}
;;;;;;;Tcdata_sys_sup_C;float;[C];Cooling return temperature of the data centre;{0.0...n}
;;;;;;;Tcre_sys_re_C;float;[C];Cooling return temperature of the refridgeration system.;{0.0...n}
;;;;;;;Tcre_sys_sup_C;float;[C];Cooling supply temperature of the refridgeration system.;{0.0...n}
;;;;;;;Tcs_sys_re_ahu_C;float;[C];AHU cooling return temperature.;{0.0...n}
;;;;;;;Tcs_sys_re_aru_C;float;[C];ARU cooling return temperature.;{0.0...n}
;;;;;;;Tcs_sys_re_C;float;[C];System cooling return temperature.;{0.0...n}
;;;;;;;Tcs_sys_re_scu_C;float;[C];SCU cooling return temperature.;{0.0...n}
;;;;;;;Tcs_sys_sup_ahu_C;float;[C];AHU cooling supply temperature.;{0.0...n}
;;;;;;;Tcs_sys_sup_aru_C;float;[C];ARU cooling supply temperature.;{0.0...n}
;;;;;;;Tcs_sys_sup_C;float;[C];System cooling supply temperature.;{0.0...n}
;;;;;;;Tcs_sys_sup_scu_C;float;[C];SCU cooling supply temperature.;{0.0...n}
;;;;;;;theta_o_C;float;[C];;{0.0...n}
;;;;;;;Ths_sys_re_ahu_C;float;[C];AHU heating return temperature.;{0.0...n}
;;;;;;;Ths_sys_re_aru_C;float;[C];ARU heating return temperature.;{0.0...n}
;;;;;;;Ths_sys_re_C;float;[C];System heating return temperature.;{0.0...n}
;;;;;;;Ths_sys_re_shu_C;float;[C];SHU heating return temperature.;{0.0...n}
;;;;;;;Ths_sys_sup_ahu_C;float;[C];AHU heating supply temperature.;{0.0...n}
;;;;;;;Ths_sys_sup_aru_C;float;[C];ARU heating supply temperature.;{0.0...n}
;;;;;;;Ths_sys_sup_C;float;[C];System heating supply temperature.;{0.0...n}
;;;;;;;Ths_sys_sup_shu_C;float;[C];SHU heating supply temperature.;{0.0...n}
;;;;;;;Tww_sys_re_C;float;[C];Domestic hot water tank return temperature.;{0.0...n}
;;;;;;;Tww_sys_sup_C;float;[C];Domestic hot water supply set point temperature.;{0.0...n}
;;;;;;;WOOD_hs_kWh;float;[kWh];Biomass produced fraction of space heating;{0.0...n}
;;;;;;;WOOD_ww_kWh;float;[kWh];Biomass produced fraction of DHW heating;{0.0...n}
;;;;;;;x_int;float;[kg/kg];Internal mass fraction of humidity (vapor/dry air);{0.0...n}
;Demand: District;This database stores the gross floor, conditioned floor and roof areas as well as the heating/cooling demand and occupancy of the district (aggregated for each building). Each group of variables is calculated using a specific module from ``cea\demand`` and is stored within the scenario directory using demand_writer module. Note: Any variable which contains a zero, is derived from the baseline scenario.;csv file / B01.csv;`` ..cea/examples/reference-case-open/baseline/outputs/demand/B01.csv`` ;Calculated using the demand modules which get data from the input databases.;Relates to the operating costs for the LCA as well as costs vs CO2 and network optimisations.;Af_m2;float;[m2];Conditioned floor area (heated/cooled);{0.0...n}
;;;;;;;Aroof_m2;float;[m2];Roof area;{0.0...n}
;;;;;;;COAL_hs_MWhyr;float;[MWh/year];Coal produced fraction of space heating;{0.0...n}
;;;;;;;COAL_hs0_kW;float;[kW/year];Coal produced fraction of space heating (Basecase);{0.0...n}
;;;;;;;COAL_ww_MWhyr;float;[MWh/year];Coal produced fraction of DHW heating;{0.0...n}
;;;;;;;COAL_ww0_kW;float;[kW/year];Coal produced fraction of DHW heating (Basecase);{0.0...n}
;;;;;;;DC_cdata_MWhyr;float;[MWh/year];District cool supply used for the data centre;{0.0...n}
;;;;;;;DC_cdata0_kW;float;[kW/year];District cool supply used for the data centre (Basecase);{0.0...n}
;;;;;;;DC_cre_MWhyr;float;[MWh/year];District cool supply used for refridgeration ;{0.0...n}
;;;;;;;DC_cre0_kW;float;[kW/year];District cool supply used for refridgeration (Basecase);{0.0...n}
;;;;;;;DC_cs_MWhyr;float;[MWh/year];District cool supply used for space cooling.;{0.0...n}
;;;;;;;DC_cs0_kW;float;[kW/year];District cool supply used for space cooling (Basecase);{0.0...n}
;;;;;;;DH_hs_MWhyr;float;[MWh/year];District heat supply used for space heating.;{0.0...n}
;;;;;;;DH_hs0_kW;float;[kW/year];District heat supply used for space heating (Basecase);{0.0...n}
;;;;;;;DH_ww_MWhyr;float;[MWh/year];District heat supply used for domestic hot water;{0.0...n}
;;;;;;;DH_ww0_kW;float;[kW/year];District heat supply used for domestic hot water (Basecase);{0.0...n}
;;;;;;;E_cdata_MWhyr;float;[MWh/year];Data centre cooling specific electricity consumption.;{0.0...n}
;;;;;;;E_cdata0_kW;float;[kW/year];Data centre cooling specific electricity consumption (Basecase);{0.0...n}
;;;;;;;E_cre_MWhyr;float;[MWh/year];Refridgeration system electricity consumption.;{0.0...n}
;;;;;;;E_cre0_kW;float;[kW/year];Refridgeration system electricity consumption (Basecase);{0.0...n}
;;;;;;;E_cs_MWhyr;float;[MWh/year];Cooling system electricity consumption.;{0.0...n}
;;;;;;;E_cs0_kW;float;[kW/year];Cooling system electricity consumption (Basecase);{0.0...n}
;;;;;;;E_hs_MWhyr;float;[MWh/year];Heating system electricity consumption.;{0.0...n}
;;;;;;;E_hs0_kW;float;[kW/year];Heating system electricity consumption (Basecase);{0.0...n}
;;;;;;;E_sys_MWhyr;float;[MWh/year];HVAC systems electricity consumption.;{0.0...n}
;;;;;;;E_sys0_kW;float;[kW/year];HVAC systems electricity consumption (Basecase);{0.0...n}
;;;;;;;E_ww_MWhyr;float;[MWh/year];Domestic hot water electricity consumption.;{0.0...n}
;;;;;;;E_ww0_kW;float;[kW/year];Domestic hot water electricity consumption (Basecase);{0.0...n}
;;;;;;;Eal_MWhyr;float;[MWh/year];Total net electricity for all sources and sinks;{0.0...n}
;;;;;;;Eal0_kW;float;[kW/year];Total net electricity for all sources and sinks (Basecase);{0.0...n}
;;;;;;;Eaux_MWhyr;float;[MWh/year];Auxiliary electricity consumption.;{0.0...n}
;;;;;;;Eaux0_kW;float;[kW/year];Auxiliary electricity consumption (Basecase);{0.0...n}
;;;;;;;Edata_MWhyr;float;[MWh/year];Data centre electricity consumption.;{0.0...n}
;;;;;;;Edata0_kW;float;[kW/year];Data centre electricity consumption (Basecase);{0.0...n}
;;;;;;;Epro_MWhyr;float;[MWh/year];Electricity production.;{0.0...n}
;;;;;;;Epro0_kW;float;[kW/year];Electricity production (Basecase);{0.0...n}
;;;;;;;GFA_m2;float;[m2];Gross floor area;{0.0...n}
;;;;;;;GRID_MWhyr;float;[MWh/year];Grid electricity consumption.;{0.0...n}
;;;;;;;GRID0_kW;float;[kW/year];Grid electricity consumption (Basecase);{0.0...n}
;;;;;;;Name;string;[-];Unique building ID. It must start with a letter.;alphanumeric
;;;;;;;NG_hs_MWhyr;float;[MWh/year];Natural gas produced fraction of space heating;{0.0...n}
;;;;;;;NG_hs0_kW;float;[kW/year];Natural gas produced fraction of space heating (Basecase);{0.0...n}
;;;;;;;NG_ww_MWhyr;float;[MWh/year];Natural gas produced fraction of DHW heating;{0.0...n}
;;;;;;;NG_ww0_kW;float;[kW/year];Natural gas produced fraction of DHW heating (Basecase);{0.0...n}
;;;;;;;OIL_hs_MWhyr;float;[MWh/year];Oil produced fraction of space heating;{0.0...n}
;;;;;;;OIL_hs0_kW;float;[kW/year];Oil produced fraction of space heating (Basecase);{0.0...n}
;;;;;;;OIL_ww_MWhyr;float;[MWh/year];Oil produced fraction of DHW heating;{0.0...n}
;;;;;;;OIL_ww0_kW;float;[kW/year];Oil produced fraction of DHW heating (Basecase);{0.0...n}
;;;;;;;people0;int;[people];Predicted occupancy;{0...n}
;;;;;;;PV_MWhyr;float;[MWh/year];Photovoltaic electricity production.;{0.0...n}
;;;;;;;PV0_kW;float;[kW/year];Photovoltaic electricity production (Basecase);{0.0...n}
;;;;;;;QC_sys_MWhyr;float;[MWh/year];Total system cooling demand;{0.0...n}
;;;;;;;QC_sys0_kW;float;[kW/year];Total system cooling demand (Basecase);{0.0...n}
;;;;;;;Qcdata_MWhyr;float;[MWh/year];Data centre cooling demand;{0.0...n}
;;;;;;;Qcdata_sys_MWhyr;float;[MWh/year];System data centre cooling demand;{0.0...n}
;;;;;;;Qcdata_sys0_kW;float;[kW/year];System data centre cooling demand (Basecase);{0.0...n}
;;;;;;;Qcdata0_kW;float;[kW/year];Data centre cooling demand (Basecase);{0.0...n}
;;;;;;;Qcre_MWhyr;float;[MWh/year];Refridgeration cooling demand for the system;{0.0...n}
;;;;;;;Qcre_sys_MWhyr;float;[MWh/year];System Refridgeration cooling demand;{0.0...n}
;;;;;;;Qcre_sys0_kW;float;[kW/year];System Refridgeration cooling demand (Basecase);{0.0...n}
;;;;;;;Qcre0_kW;float;[kW/year];Refridgeration cooling demand (Basecase);{0.0...n}
;;;;;;;Qcs_dis_ls_MWhyr;float;[MWh/year];Cool distribution losses;{0.0...n}
;;;;;;;Qcs_dis_ls0_kW;float;[kW/year];Cool distribution losses (Basecase);{0.0...n}
;;;;;;;Qcs_em_ls_MWhyr;float;[MWh/year];Cool emission losses;{0.0...n}
;;;;;;;Qcs_em_ls0_kW;float;[kW/year];Cool emission losses (Basecase);{0.0...n}
;;;;;;;Qcs_lat_ahu_MWhyr;float;[MWh/year];AHU latent cool demand;{0.0...n}
;;;;;;;Qcs_lat_ahu0_kW;float;[kW/year];AHU latent cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_lat_aru_MWhyr;float;[MWh/year];ARU latent cool demand;{0.0...n}
;;;;;;;Qcs_lat_aru0_kW;float;[kW/year];ARU latent cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_lat_sys_MWhyr;float;[MWh/year];System latent cool demand;{0.0...n}
;;;;;;;Qcs_lat_sys0_kW;float;[kW/year];System latent cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_MWhyr;float;[MWh/year];Total cool demand;{0.0...n}
;;;;;;;Qcs_sen_ahu_MWhyr;float;[MWh/year];AHU system cool demand;{0.0...n}
;;;;;;;Qcs_sen_ahu0_kW;float;[kW/year];AHU system cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_sen_aru_MWhyr;float;[MWh/year];ARU system cool demand;{0.0...n}
;;;;;;;Qcs_sen_aru0_kW;float;[kW/year];ARU system cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_sen_scu_MWhyr;float;[MWh/year];SCU system cool demand;{0.0...n}
;;;;;;;Qcs_sen_scu0_kW;float;[kW/year];SCU system cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_sen_sys_MWhyr;float;[MWh/year];Sensible system cool demand;{0.0...n}
;;;;;;;Qcs_sen_sys0_kW;float;[kW/year];Sensible system cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_sys_ahu_MWhyr;float;[MWh/year];AHU system cool demand;{0.0...n}
;;;;;;;Qcs_sys_ahu0_kW;float;[kW/year];AHU system cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_sys_aru_MWhyr;float;[MWh/year];ARU system cool demand;{0.0...n}
;;;;;;;Qcs_sys_aru0_kW;float;[kW/year];ARU system cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_sys_MWhyr;float;[MWh/year];Total system system cool demand;{0.0...n}
;;;;;;;Qcs_sys_scu_MWhyr;float;[MWh/year];SCU system cool demand;{0.0...n}
;;;;;;;Qcs_sys_scu0_kW;float;[kW/year];SCU system cool demand (Basecase);{0.0...n}
;;;;;;;Qcs_sys0_kW;float;[kW/year];System cool demand;{0.0...n}
;;;;;;;Qcs0_kW;float;[kW/year];Total cooling demand (Basecase);{0.0...n}
;;;;;;;QH_sys_MWhyr;float;[MWh/year];District system heating demand;{0.0...n}
;;;;;;;QH_sys0_kW;float;[kW/year];District system heating demand (Basecase);{0.0...n}
;;;;;;;Qhpro_sys_MWhyr;float;[MWh/year];System heat production;{0.0...n}
;;;;;;;Qhpro_sys0_kW;float;[kW/year];System heat production (Basecase);{0.0...n}
;;;;;;;Qhs_dis_ls_MWhyr;float;[MWh/year];Heat distribution losses;{0.0...n}
;;;;;;;Qhs_dis_ls0_kW;float;[kW/year];Heat distribution losses (Basecase);{0.0...n}
;;;;;;;Qhs_em_ls_MWhyr;float;[MWh/year];Heat emission losses;{0.0...n}
;;;;;;;Qhs_em_ls0_kW;float;[kW/year];Heat emission losses (Basecase);{0.0...n}
;;;;;;;Qhs_lat_ahu_MWhyr;float;[MWh/year];AHU latent heat demand;{0.0...n}
;;;;;;;Qhs_lat_ahu0_kW;float;[kW/year];AHU latent heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_lat_aru_MWhyr;float;[MWh/year];ARU latent heat demand;{0.0...n}
;;;;;;;Qhs_lat_aru0_kW;float;[kW/year];ARU latent heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_lat_sys_MWhyr;float;[MWh/year];System latent heat demand;{0.0...n}
;;;;;;;Qhs_lat_sys0_kW;float;[kW/year];System latent heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_MWhyr;float;[MWh/year];Total heating demand;{0.0...n}
;;;;;;;Qhs_sen_ahu_MWhyr;float;[MWh/year];AHU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sen_ahu0_kW;float;[kW/year];AHU sensible heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_sen_aru_MWhyr;float;[MWh/year];ARU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sen_aru0_kW;float;[kW/year];ARU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sen_shu_MWhyr;float;[MWh/year];SHU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sen_shu0_kW;float;[kW/year];SHU sensible heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_sen_sys_MWhyr;float;[MWh/year];SHU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sen_sys0_kW;float;[kW/year];HVAC systems sensible heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_sys_ahu_MWhyr;float;[MWh/year];AHU system heat demand;{0.0...n}
;;;;;;;Qhs_sys_ahu0_kW;float;[kW/year];AHU sensible heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_sys_aru_MWhyr;float;[MWh/year];ARU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sys_aru0_kW;float;[kW/year];ARU sensible heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_sys_MWhyr;float;[MWh/year];Total system heat demand;{0.0...n}
;;;;;;;Qhs_sys_shu_MWhyr;float;[MWh/year];SHU sensible heat demand;{0.0...n}
;;;;;;;Qhs_sys_shu0_kW;float;[kW/year];SHU sensible heat demand (Basecase);{0.0...n}
;;;;;;;Qhs_sys0_kW;float;[kW/year];Total system heat demand (Basecase);{0.0...n}
;;;;;;;Qhs0_kW;float;[kW/year];Total heating demand (Basecase);{0.0...n}
;;;;;;;Qww_MWhyr;float;[MWh/year];DHW heat demand;{0.0...n}
