name,NameGerman,IdKbob,IdDisposal,Disposal,Density,DensityUnit,UBPEmbodied,UBPEoL,TotalEmbodied,TotalEoL,RenewableEmbodied,RenewableEoL,NonRenewableEmbodied,NonRenewableEoL,GHGEmbodied,GHGEoL,ThermalCond
Hardboard,Hartfaserplatte,7.004,91.049,Entsorgungsmix Faserplatte hart,955,kg,1220,91.1,11.2,0.062,7.03,0.001,4.14,0.061,1.04,0.126,NULL
"Wood wool lightweight panel, cement bound","Holzwolle-Leichtbauplatte, zementgebunden",7.005,91.033,"Entsorgung, Gebaeude, Holzzementplatte, in Beseitigung",400,kg,508,52.8,3.28,0.08,2.02,0,1.26,0.08,0.54,0.02,0.08
"Solid wood beech / oak, chamber dried, planed","Massivholz Buche / Eiche, kammergetrocknet, gehobelt",7.008,91.052,"Entsorgungsmix Schnittholz, Laubholz, luft-/kammergetrocknet",675,kg,393,27,6.97,0.04,6.32,0,0.65,0.03,0.12,0.01,0.17
"Solid wood beech / oak, chamber dried, planed, production Switzerland","Massivholz Buche / Eiche, kammergetrocknet, gehobelt, Produktion Schweiz",07.008.01,91.052,"Entsorgungsmix Schnittholz, Laubholz, luft-/kammergetrocknet",675,kg,372,27,7.01,0.035,6.45,0.001,0.56,0.034,0.081,0.01,NULL
"Solid wood beech / oak, compartment dried, rough","Massivholz Buche / Eiche, kammergetrocknet, rau",7.007,91.052,"Entsorgungsmix Schnittholz, Laubholz, luft-/kammergetrocknet",675,kg,352,27,6.77,0.035,6.22,0.001,0.544,0.034,0.099,0.01,NULL
"Solid wood beech / oak, chamber dried, rough, production Switzerland","Massivholz Buche / Eiche, kammergetrocknet, rau, Produktion Schweiz",07.007.01,91.052,"Entsorgungsmix Schnittholz, Laubholz, luft-/kammergetrocknet",675,kg,333,27,6.79,0.035,6.34,0.001,0.457,0.034,0.069,0.01,NULL
"Solid wood beech / oak, air-dried, rough","Massivholz Buche / Eiche, luftgetrocknet, rau",7.006,91.053,"Entsorgungsmix Schnittholz, Laubholz, luftgetrocknet",705,kg,286,24.7,5.83,0.032,5.39,0.001,0.443,0.031,0.084,0.009,NULL
"Solid wood beech / oak, air-dried, rough, production Switzerland","Massivholz Buche / Eiche, luftgetrocknet, rau, Produktion Schweiz",07.006.01,91.053,"Entsorgungsmix Schnittholz, Laubholz, luftgetrocknet",705,kg,267,24.7,5.85,0.032,5.49,0.001,0.359,0.031,0.058,0.009,NULL
"Solid wood spruce / fir / larch, chambered, planed","Massivholz Fichte / Tanne / Laerche, kammergetr., gehobelt",7.011,91.054,"Entsorgungsmix Schnittholz, Nadelholz, kammergetrocknet",465,kg,475,27,7.44,0.04,6.66,0,0.78,0.03,0.13,0.01,0.13
"Solid wood spruce / fir / larch, chambered, planed, production Switzerland","Massivholz Fichte / Tanne / Laerche, kammergetr., gehobelt, Produktion Schweiz",07.011.01,91.054,"Entsorgungsmix Schnittholz, Nadelholz, kammergetrocknet",465,kg,457,27,7.27,0.035,6.54,0.001,0.726,0.034,0.111,0.01,NULL
"Solid wood spruce / fir, chambered, solid wood house holzpur","Massivholz Fichte / Tanne, kammergetr., Vollholzhaus holzpur",07.011.02,91.054.01 ,"Entsorgungsmix Schnittholz, Nadelholz, kammergetrocknet, holzpur",420,kg,504,27,10.4,0.035,10,0.001,0.433,0.034,0.096,0.01,NULL
"Solid wood spruce / fir / larch, air-conditioned, planed","Massivholz Fichte / Tanne / Laerche, luftgetr., gehobelt",7.01,91.055,"Entsorgungsmix Schnittholz, Nadelholz, luftgetrocknet",485,kg,399,24.7,6.44,0.03,5.78,0,0.66,0.03,0.12,0.01,0.13
"Solid wood spruce / fir / larch, air-conditioned, planed, production Switzerland","Massivholz Fichte / Tanne / Laerche, luftgetr., gehobelt, Produktion Schweiz",07.010.01,91.055,"Entsorgungsmix Schnittholz, Nadelholz, luftgetrocknet",485,kg,383,24.7,6.28,0.032,5.67,0.001,0.61,0.031,0.097,0.009,NULL
"Solid wood spruce / fir / larch, air-dried, rough","Massivholz Fichte / Tanne / Laerche, luftgetrocknet, rau",7.009,91.055,"Entsorgungsmix Schnittholz, Nadelholz, luftgetrocknet",485,kg,322,24.7,5.98,0.03,5.51,0,0.47,0.03,0.09,0.01,0.13
"Solid wood spruce / fir / larch, air-dried, rough, production Switzerland","Massivholz Fichte / Tanne / Laerche, luftgetrocknet, rau, Produktion Schweiz",07.009.01,91.055,"Entsorgungsmix Schnittholz, Nadelholz, luftgetrocknet",485,kg,308,24.7,5.83,0.032,5.41,0.001,0.428,0.031,0.078,0.009,NULL
"Medium density fiberboard (MDF), UF bonded","Mitteldichte Faserplatte (MDF), UF-gebunden",7.012,91.05,Entsorgungsmix Faserplatte mittlerer Dichte (MDF),685,kg,1080,91.1,10.7,0.062,5.85,0.001,4.82,0.061,0.91,0.126,NULL
"OSB plate, PF-bound, wet area","OSB Platte, PF-gebunden, Feuchtbereich",7.013,91.056,"Entsorgungsmix Spanplatte, Aussenanwendung",605,kg,792,91.4,10.9,0.06,8.24,0,2.7,0.06,0.49,0.13,0.13
"Chipboard, PF-bonded, wet area","Spanplatte, PF-gebunden, Feuchtbereich",7.015,91.056,"Entsorgungsmix Spanplatte, Aussenanwendung",640,kg,654,91.4,7.27,0.062,4.36,0.001,2.91,0.061,0.519,0.127,NULL
"Chipboard, UF-bonded, coated, dry area","Spanplatte, UF-gebunden, beschichtet, Trockenbereich",7.016,91.057,"Entsorgungsmix Spanplatte, Innenanwendung",640,kg,876,91.4,8.81,0.062,4.68,0.001,4.13,0.061,0.718,0.127,NULL
"Chipboard, UF-bound, dry area","Spanplatte, UF-gebunden, Trockenbereich",7.014,91.057,"Entsorgungsmix Spanplatte, Innenanwendung",640,kg,654,91.4,7.27,0.06,4.36,0,2.91,0.06,0.52,0.13,0.14
"Plywood / Multiplex, PF-bound, wet area","Sperrholz/Multiplex, PF-gebunden, Feuchtbereich",7.018,91.058,"Entsorgungsmix Sperrholz, Aussenanwendung",500,kg,2100,79.7,17.5,0.054,10.2,0.001,7.23,0.053,1.35,0.111,NULL
"Plywood / multiplex, UF-bound, dry area","Sperrholz/Multiplex, UF-gebunden, Trockenbereich",7.017,91.058,"Entsorgungsmix Sperrholz, Aussenanwendung",500,kg,1780,79.7,16.1,0.054,10.2,0.001,5.88,0.053,1.06,0.111,NULL
2-component adhesive,2-Komponenten Klebstoff,8.001,91.002,"Entsorgung, Bodenbelag, 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm",1500,kg,5700,754,24.6,0.35,0.35,0.01,24.3,0.35,4.61,1.34,0.2
Hot bitumen,Heissbitumen,8.002,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1000,kg,1460,1180,15.3,0.225,0.045,0.008,15.3,0.217,0.692,2.37,NULL
Rubber sealant,Kautschukdichtungsmasse,8.003,91.045,"Entsorgung, Gummi, unspezifisch, 0% Wasser, in Kehrichtverbrennung",1500,kg,5880,1590,24.3,0.169,0.282,0.006,24,0.163,2.05,3.16,NULL
Polysulfide sealant,Polysulfiddichtungsmasse,8.004,91.045,"Entsorgung, Gummi, unspezifisch, 0% Wasser, in Kehrichtverbrennung",1600,kg,1930,1590,8.01,0.169,0.422,0.006,7.59,0.163,1.51,3.16,NULL
Silicone grout,Silicon-Fugenmasse,8.005,91.045,"Entsorgung, Gummi, unspezifisch, 0% Wasser, in Kehrichtverbrennung",1000,kg,2960,1590,17,0.169,2.18,0.006,14.8,0.163,2.71,3.16,NULL
Steam brake bituminous,Dampfbremse bituminoes,9.001,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1100,kg,1920,1180,14.3,0.23,0.65,0.01,13.6,0.22,1.17,2.37,0.017
Vapor barrier polyethylene (PE),Dampfbremse Polyethylen (PE),9.002,91.037,"Entsorgung, Gebaeude, PE-Dichtungsbahn, in Beseitigung",920,kg,2240,1360,25.6,0.14,0.91,0,24.7,0.13,2.76,2.58,0.42
Geomembrane bituminous,Dichtungsbahn bituminoes,9.003,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1100,kg,1430,1180,12.5,0.23,0.25,0.01,12.3,0.22,0.88,2.37,0.017
"Bituminous waterproofing membrane, swissporBIKUTOP EP4","Bituminoese Dichtungsbahn, swissporBIKUTOP EP4",09.003.01,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1175,kg,1110,1180,10.8,0.225,0.217,0.008,10.5,0.217,0.701,2.37,NULL
"Bituminous waterproofing membrane, 50% recycled content, swissporBIKUTOP ECO EP4","Bituminoese Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EP4",09.003.02,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1175,kg,672,1180,6.06,0.225,0.199,0.008,5.86,0.217,0.466,2.37,NULL
"Bituminous waterproofing membrane, swissporBIKUTOP EGV3","Bituminoese Dichtungsbahn, swissporBIKUTOP EGV3",09.003.03,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1200,kg,1100,1180,9.69,0.225,0.216,0.008,9.48,0.217,0.607,2.37,NULL
"Bituminous waterproofing membrane, 50% recycled content, swissporBIKUTOP ECO EGV3","Bituminoese Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EGV3",09.003.04,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1200,kg,681,1180,5.18,0.225,0.199,0.008,4.98,0.217,0.391,2.37,NULL
"Bituminous waterproofing membrane, swissporBIKUTOP EGV3.5","Bituminoese Dichtungsbahn, swissporBIKUTOP EGV3.5",09.003.05,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1200,kg,1170,1180,10.5,0.225,0.194,0.008,10.3,0.217,0.655,2.37,NULL
"Bituminous waterproofing membrane, 50% recycled content, swissporBIKUTOP ECO EGV3.5","Bituminoese Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EGV3.5",09.003.06,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1200,kg,714,1180,5.62,0.225,0.176,0.008,5.44,0.217,0.424,2.37,NULL
"Bituminous waterproofing membrane, swissporBIKUTOP EP5","Bituminoese Dichtungsbahn, swissporBIKUTOP EP5",09.003.07,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1180,kg,1120,1180,10.6,0.225,0.181,0.008,10.5,0.217,0.685,2.37,NULL
"Bituminous waterproofing membrane, 50% recycled content, swissporBIKUTOP ECO EP5","Bituminoese Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO EP5",09.003.08,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1180,kg,676,1180,5.89,0.225,0.163,0.008,5.73,0.217,0.447,2.37,NULL
"Bituminous waterproofing membrane, swissporBIKUTOP LL Vario","Bituminoese Dichtungsbahn, swissporBIKUTOP LL Vario",09.003.09,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1171,kg,1290,1180,11.7,0.225,0.182,0.008,11.6,0.217,0.73,2.37,NULL
"Bituminous waterproofing membrane, 50% recycled content, swissporBIKUTOP ECO LL Vario","Bituminoese Dichtungsbahn, 50% Recyclinganteil, swissporBIKUTOP ECO LL Vario",09.003.10,91.027,"Entsorgung, Gebaeude, Bitumenbahn, in Beseitigung",1171,kg,939,1180,7.99,0.225,0.168,0.008,7.82,0.217,0.55,2.37,NULL
Waterproofing membrane rubber (EPDM),Dichtungsbahn Gummi (EPDM),9.004,91.045,"Entsorgung, Gummi, unspezifisch, 0% Wasser, in Kehrichtverbrennung",1100,kg,3340,1590,25.4,0.169,0.721,0.006,24.6,0.163,2.7,3.16,NULL
Waterproofing Membrane Polyolefin (FPO),Dichtungsbahn Polyolefin (FPO),9.005,91.038,"Entsorgung, Gebaeude, Polyethylen/Polypropylen-Produkte, in Beseitigung",1000,kg,2940,1480,23.4,0.134,0.41,0.002,22.9,0.132,2.52,3.03,NULL
Kraft paper,Kraftpapier,9.006,91.046,"Entsorgung, Papier, 11.2% Wasser, in Kehrichtverbrennung",650,kg,2950,86.2,22.4,0.104,14.5,0.002,7.95,0.102,1.65,0.041,NULL
Polyethylene film (PE),Polyethylenfolie (PE),9.007,91.037,"Entsorgung, Gebaeude, PE-Dichtungsbahn, in Beseitigung",920,kg,2240,1360,25.6,0.14,0.91,0,24.7,0.13,2.76,2.58,0.42
Polyethylene fleece (PE),Polyethylenvlies (PE),9.008,91.037,"Entsorgung, Gebaeude, PE-Dichtungsbahn, in Beseitigung",920,kg,2290,1360,26.3,0.14,0.55,0,25.8,0.13,2.95,2.58,0.42
Airgel fabric,Aerogel-Vlies,10.014,91.119,"Entsorgungsmix, Aerogel-Vlies",150,kg,45200,181,245,0.128,13.7,0.002,231,0.127,48.4,0.303,NULL
Expanded perlite(65 kg/m3),Blaehperlit(65 kg/m3),10.012,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",65,kg,920,29.8,4.64,0.068,0.172,0.001,4.47,0.068,1,0.01,NULL
Expanded perlite(102.5 kg/m3),Blaehperlit(102.5 kg/m3),10.012,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",102.5,kg,920,29.8,4.64,0.068,0.172,0.001,4.47,0.068,1,0.01,NULL
Expanded perlite(140 kg/m3),Blaehperlit(140 kg/m3),10.012,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",140,kg,920,29.8,4.64,0.068,0.172,0.001,4.47,0.068,1,0.01,NULL
Expanded vermiculite(65 kg/m3),Blaehvermiculit(65 kg/m3),10.011,91.059,"Entsorgungsmix, Backstein",65,kg,563,25.8,1.85,0.052,0.052,0.002,1.8,0.051,0.428,0.009,NULL
Expanded vermiculite(102.5 kg/m3),Blaehvermiculit(102.5 kg/m3),10.011,91.059,"Entsorgungsmix, Backstein",102.5,kg,563,25.8,1.85,0.052,0.052,0.002,1.8,0.051,0.428,0.009,NULL
Expanded vermiculite(140 kg/m3),Blaehvermiculit(140 kg/m3),10.011,91.059,"Entsorgungsmix, Backstein",140,kg,563,25.8,1.85,0.052,0.052,0.002,1.8,0.051,0.428,0.009,NULL
Flax fibers,Flachsfasern,10.016,91.121,"Entsorgungsmix, Flachsfasern",30,kg,1480,144,11.2,0.061,6.05,0.001,5.14,0.06,0.768,0.222,NULL
"Flax fibers, MAGRIPOL, Premium","Flachsfasern, MAGRIPOL, Premium",10.016.01,91.121,"Entsorgungsmix, Flachsfasern",30,kg,1440,144,11,0.061,5.99,0.001,5,0.06,0.74,0.222,NULL
"Flax fibers, fireproof","Flachsfasern, feuerfest",10.017,91.121,"Entsorgungsmix, Flachsfasern",30,kg,1870,144,12.9,0.061,5.55,0.001,7.32,0.06,1.2,0.222,NULL
"Flax fibers, fireproof, MAGRIPOL, Premium+","Flachsfasern, feuerfest, MAGRIPOL, Premium+",10.017.01,91.121,"Entsorgungsmix, Flachsfasern",30,kg,1820,144,12.7,0.061,5.5,0.001,7.16,0.06,1.17,0.222,NULL
Glass wool(20 kg/m3),Glaswolle(20 kg/m3),10.001,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",20,kg,1660,29.8,9.87,0.07,2.19,0,7.68,0.07,1.12,0.01,0.04
Glass wool(60 kg/m3),Glaswolle(60 kg/m3),10.001,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",60,kg,1660,29.8,9.87,0.07,2.19,0,7.68,0.07,1.12,0.01,0.04
Glass wool(100 kg/m3),Glaswolle(100 kg/m3),10.001,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",100,kg,1660,29.8,9.87,0.07,2.19,0,7.68,0.07,1.12,0.01,0.04
"Glass wool, Isover(20 kg/m3)","Glaswolle, Isover(20 kg/m3)",10.001.01,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",20,kg,1260,29.8,7.1,0.068,2.64,0.001,4.46,0.068,0.785,0.01,NULL
"Glass wool, Isover(60 kg/m3)","Glaswolle, Isover(60 kg/m3)",10.001.01,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",60,kg,1260,29.8,7.1,0.068,2.64,0.001,4.46,0.068,0.785,0.01,NULL
"Glass wool, Isover(100 kg/m3)","Glaswolle, Isover(100 kg/m3)",10.001.01,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",100,kg,1260,29.8,7.1,0.068,2.64,0.001,4.46,0.068,0.785,0.01,NULL
Cork,Korkplatte,10.002,91.041,"Entsorgung, Gebaeude, Spanplatte, in Beseitigung",120,kg,1530,159,14.2,0.108,7.68,0.002,6.54,0.106,1.12,0.221,NULL
Phenolic resin (PF),Phenolharz (PF),10.003,91.04,"Entsorgung, Gebaeude, PVC-Produkte, in Beseitigung",40,kg,5310,1180,34.2,1.11,0.62,0.086,33.6,1.03,4.19,2.04,NULL
Polystyrene expands (EPS)(15 kg/m3),Polystyrol expandiert (EPS)(15 kg/m3),10.004,91.028,"Entsorgung, Gebaeude, EPS-Isolation flammgeschuetzt, in Beseitigung",15,kg,3610,1570,30,0.14,0.36,0,29.7,0.13,4.46,3.19,0.038
Polystyrene expands (EPS)(18 kg/m3),Polystyrol expandiert (EPS)(18 kg/m3),10.004,91.028,"Entsorgung, Gebaeude, EPS-Isolation flammgeschuetzt, in Beseitigung",18,kg,3610,1570,30,0.14,0.36,0,29.7,0.13,4.46,3.19,0.038
Polystyrene expands (EPS)(40 kg/m3),Polystyrol expandiert (EPS)(40 kg/m3),10.004,91.028,"Entsorgung, Gebaeude, EPS-Isolation flammgeschuetzt, in Beseitigung",40,kg,3610,1570,30,0.14,0.36,0,29.7,0.13,4.46,3.19,0.038
Polystyrene extruded (XPS)(30 kg/m3),Polystyrol extrudiert (XPS)(30 kg/m3),10.005,91.028,"Entsorgung, Gebaeude, EPS-Isolation flammgeschuetzt, in Beseitigung",30,kg,9240,1570,29.4,0.14,0.51,0,28.9,0.13,11.3,3.19,0.036
Polystyrene extruded (XPS)(32.5 kg/m3),Polystyrol extrudiert (XPS)(32.5 kg/m3),10.005,91.028,"Entsorgung, Gebaeude, EPS-Isolation flammgeschuetzt, in Beseitigung",32.5,kg,9240,1570,29.4,0.14,0.51,0,28.9,0.13,11.3,3.19,0.036
Polystyrene extruded (XPS)(35 kg/m3),Polystyrol extrudiert (XPS)(35 kg/m3),10.005,91.028,"Entsorgung, Gebaeude, EPS-Isolation flammgeschuetzt, in Beseitigung",35,kg,9240,1570,29.4,0.14,0.51,0,28.9,0.13,11.3,3.19,0.036
Polyurethane (PUR / PIR),Polyurethan (PUR/PIR),10.006,91.039,"Entsorgung, Gebaeude, PUR-Schaum, in Beseitigung",30,kg,5110,1510,30.4,0.65,0.8,0.01,29.6,0.64,4.8,2.72,0.032
Foam glass(100 kg/m3),Schaumglas(100 kg/m3),10.007,91.032,"Entsorgung, Gebaeude, Flachglas, in Beseitigung",100,kg,1020,18.6,7.14,0.07,1.89,0,5.26,0.07,1.16,0.01,0.045
Foam glass(110 kg/m3),Schaumglas(110 kg/m3),10.007,91.032,"Entsorgung, Gebaeude, Flachglas, in Beseitigung",110,kg,1020,18.6,7.14,0.07,1.89,0,5.26,0.07,1.16,0.01,0.045
Foam glass(165 kg/m3),Schaumglas(165 kg/m3),10.007,91.032,"Entsorgung, Gebaeude, Flachglas, in Beseitigung",165,kg,1020,18.6,7.14,0.07,1.89,0,5.26,0.07,1.16,0.01,0.045
Foam glass gravel(125 kg/m3),Schaumglasschotter(125 kg/m3),10.013,91.12,"Entsorgungsmix, Schaumglasschotter",125,kg,309,14.2,1.95,0.055,0.26,0,1.69,0.054,0.148,0.007,NULL
Foam glass gravel(137.5 kg/m3),Schaumglasschotter(137.5 kg/m3),10.013,91.12,"Entsorgungsmix, Schaumglasschotter",137.5,kg,309,14.2,1.95,0.055,0.26,0,1.69,0.054,0.148,0.007,NULL
Foam glass gravel(150 kg/m3),Schaumglasschotter(150 kg/m3),10.013,91.12,"Entsorgungsmix, Schaumglasschotter",150,kg,309,14.2,1.95,0.055,0.26,0,1.69,0.054,0.148,0.007,NULL
"Foam glass gravel, Misapor(125 kg/m3)","Schaumglasschotter, Misapor(125 kg/m3)",10.013.01,91.12,"Entsorgungsmix, Schaumglasschotter",125,kg,262,14.2,1.74,0.055,0.243,0,1.5,0.054,0.12,0.007,NULL
"Foam glass gravel, Misapor(137.5 kg/m3)","Schaumglasschotter, Misapor(137.5 kg/m3)",10.013.01,91.12,"Entsorgungsmix, Schaumglasschotter",137.5,kg,262,14.2,1.74,0.055,0.243,0,1.5,0.054,0.12,0.007,NULL
"Foam glass gravel, Misapor(150 kg/m3)","Schaumglasschotter, Misapor(150 kg/m3)",10.013.01,91.12,"Entsorgungsmix, Schaumglasschotter",150,kg,262,14.2,1.74,0.055,0.243,0,1.5,0.054,0.12,0.007,NULL
Rock wool(30 kg/m3),Steinwolle(30 kg/m3),10.008,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",30,kg,1110,29.8,4.6,0.07,0.34,0,4.27,0.07,1.12,0.01,0.04
Rock wool(60 kg/m3),Steinwolle(60 kg/m3),10.008,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",60,kg,1110,29.8,4.6,0.07,0.34,0,4.27,0.07,1.12,0.01,0.04
Rock wool(100 kg/m3),Steinwolle(100 kg/m3),10.008,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",100,kg,1110,29.8,4.6,0.07,0.34,0,4.27,0.07,1.12,0.01,0.04
"Rock wool, Flumroc(32 kg/m3)","Steinwolle, Flumroc(32 kg/m3)",10.008.01,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",32,kg,1010,29.8,4.26,0.068,0.328,0.001,3.93,0.068,1.05,0.01,NULL
"Rock wool, Flumroc(96 kg/m3)","Steinwolle, Flumroc(96 kg/m3)",10.008.01,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",96,kg,1010,29.8,4.26,0.068,0.328,0.001,3.93,0.068,1.05,0.01,NULL
"Rock wool, Flumroc(160 kg/m3)","Steinwolle, Flumroc(160 kg/m3)",10.008.01,91.036,"Entsorgung, Gebaeude, Mineralwolle, in Beseitigung",160,kg,1010,29.8,4.26,0.068,0.328,0.001,3.93,0.068,1.05,0.01,NULL
Straw bale wall,Strohballenwand,10.015,91.122,"Entsorgungsmix, Strohballenwand",215,kg,562,0,5.02,0,4.79,0,0.23,0,0.09,0,0.08
Soft board,Weichfaserplatte,10.009,91.051,Entsorgungsmix Faserplatte weich,147.5,kg,816,43.6,10.5,0.04,7.03,0,3.49,0.04,0.62,0.04,0.06
"Soft board, Pavatex","Weichfaserplatte, Pavatex",10.009.01,91.051,Entsorgungsmix Faserplatte weich,140,kg,648,43.6,10,0.041,6.9,0.001,3.1,0.041,0.404,0.041,NULL
Cellulose fibers(35 kg/m3),Zellulosefasern(35 kg/m3),10.01,91.046,"Entsorgung, Papier, 11.2% Wasser, in Kehrichtverbrennung",35,kg,332,86.2,1.17,0.104,0.24,0.002,0.931,0.102,0.216,0.041,NULL
Cellulose fibers(47.5 kg/m3),Zellulosefasern(47.5 kg/m3),10.01,91.046,"Entsorgung, Papier, 11.2% Wasser, in Kehrichtverbrennung",47.5,kg,332,86.2,1.17,0.104,0.24,0.002,0.931,0.102,0.216,0.041,NULL
Cellulose fibers(60 kg/m3),Zellulosefasern(60 kg/m3),10.01,91.046,"Entsorgung, Papier, 11.2% Wasser, in Kehrichtverbrennung",60,kg,332,86.2,1.17,0.104,0.24,0.002,0.931,0.102,0.216,0.041,NULL
"Cellulose fibers, Isofloc(35 kg/m3)","Zellulosefasern, Isofloc(35 kg/m3)",10.010.01,91.046,"Entsorgung, Papier, 11.2% Wasser, in Kehrichtverbrennung",35,kg,253,86.2,0.909,0.104,0.226,0.002,0.683,0.102,0.163,0.041,NULL
"Cellulose fibers, Isofloc(47.5 kg/m3)","Zellulosefasern, Isofloc(47.5 kg/m3)",10.010.01,91.046,"Entsorgung, Papier, 11.2% Wasser, in Kehrichtverbrennung",47.5,kg,253,86.2,0.909,0.104,0.226,0.002,0.683,0.102,0.163,0.041,NULL
"Cellulose fibers, Isofloc(60 kg/m3)","Zellulosefasern, Isofloc(60 kg/m3)",10.010.01,91.046,"Entsorgung, Papier, 11.2% Wasser, in Kehrichtverbrennung",60,kg,253,86.2,0.909,0.104,0.226,0.002,0.683,0.102,0.163,0.041,NULL
"2K-Flooring Industry (Epoxy), 2.25 mm","2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm",11.001,91.002,"Entsorgung, Bodenbelag, 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm",4.55,m2,25500,3430,64.9,1.61,1.41,0.024,63.5,1.58,11.1,6.09,NULL
"2K flooring covering / administration (epoxy resin, PU), 2 mm","2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm",11.002,91.003,"Entsorgung, Bodenbelag, 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm",3.6,m2,18200,2980,62.9,1.56,2,0.023,60.9,1.54,10,5.19,NULL
"Rubber granules sealed, 7.5 mm","Gummigranulat versiegelt, 7.5 mm",11.003,91.004,"Entsorgung, Bodenbelag, Gummigranulat versiegelt, 7.5 mm",8.25,m2,16700,6780,112,2.19,2.43,0.041,110,2.15,14.9,12.6,NULL
"Mastic asphalt, 27.5 mm","Gussasphalt, 27.5 mm",11.004,91.001,"Entsorgung, Asphalt, 0.1% Wasser, in Reaktordeponie",63.3,m2,16800,7680,123,5.68,2.83,0.1,120,5.58,12.9,1.17,0.75
"Hard concrete single layer, 27.5 mm","Hartbeton einschichtig, 27.5 mm",11.005,91.005,"Entsorgung, Bodenbelag, Hartbeton einschichtig, 27.5 mm",57.8,m2,18600,214,51.3,0.514,2.02,0.004,49.2,0.509,16.8,0.085,NULL
"Two-layer hard concrete, 35 mm","Hartbeton zweischichtig, 35 mm",11.006,91.006,"Entsorgung, Bodenbelag, Hartbeton zweischichtig, 35 mm",73.5,m2,19100,270,46.3,0.648,2,0.006,44.3,0.642,16.7,0.107,NULL
"Rubber, 2 mm","Kautschuk, 2 mm",11.007,91.007,"Entsorgung, Bodenbelag, Kautschuk, 2mm",3.36,m2,12300,2600,69.7,0.554,9.89,0.016,59.8,0.538,10.9,4.78,NULL
"Ceramic / stoneware plate, 9 mm","Keramik-/Steinzeugplatte, 9 mm",11.008,91.059,"Entsorgungsmix, Backstein",18,m2,43700,464,71.9,0.941,4.18,0.032,67.7,0.909,13.8,0.163,NULL
"Cork parquet, 10.5 mm","Kork Fertigparkett, 10.5 mm",11.009,91.008,"Entsorgung, Bodenbelag, Kork Fertigparkett, 10.5 mm",7.8,m2,9740,1210,84.8,0.638,38.6,0.012,46.2,0.626,8.02,1.66,NULL
"Cork PVC-coated, 3.2 mm","Kork PVC-beschichtet, 3.2 mm",11.01,91.009,"Entsorgung, Bodenbelag, Kork PVC-beschichtet, 3.2 mm",2.7,m2,5650,1550,41.6,0.366,8.04,0.009,33.6,0.357,4.76,2.82,NULL
"Cork parquet oiled / sealed, 5.3 mm","Korkparkett geoelt/versiegelt, 5.3 mm",11.011,91.01,"Entsorgung, Bodenbelag, Korkparkett geoelt/versiegelt, 5.3 mm",2.7,m2,2620,401,22.7,0.19,11.7,0.004,10.9,0.186,1.97,0.585,NULL
"Artificial stone slab cement-bound, 10 mm","Kunststeinplatte zementgebunden, 10 mm",11.012,91.059,"Entsorgungsmix, Backstein",21.5,m2,4390,554,8.09,1.12,0.654,0.038,7.44,1.09,4.85,0.194,NULL
